step,t,atom_id,mol_id,x,y,z,pe,h,xlo,xhi,ylo,yhi,zlo,zhi,h_ave
1,23000000,5376,36.0,15.3652,0.50695,12.7761,10.8931,18.7537,0.0,0.0,0.0,0.0,0.0,0.0,11.673310204081632
1,23000000,7297,49.0,10.0301,4.32048,13.9148,10.288,18.1486,0.0,0.0,0.0,0.0,0.0,0.0,10.703630985915494
1,23000000,7299,49.0,9.77462,3.73869,14.0085,14.4612,22.3218,0.0,0.0,0.0,0.0,0.0,0.0,11.939640277777777
1,23000000,7298,49.0,9.9074,4.06659,14.1802,8.952,16.8126,0.0,0.0,0.0,0.0,0.0,0.0,11.513605633802817
1,23000000,204,2.0,5.08785,9.54922,0.92392,5.442,13.3026,0.0,0.0,0.0,0.0,0.0,0.0,8.42405142857143
1,23000000,816,6.0,4.48442,2.22678,10.1153,-0.4751,7.3855,0.0,0.0,0.0,0.0,0.0,0.0,4.763283333333335
1,23000000,1174,8.0,15.4217,6.45599,5.87052,9.2924,17.153,0.0,0.0,0.0,0.0,0.0,0.0,8.170559420289855
1,23000000,2619,18.0,5.44314,1.3439,7.15669,5.1554,13.016,0.0,0.0,0.0,0.0,0.0,0.0,8.773973913043479
1,23000000,2620,18.0,5.07365,1.2666,7.09513,3.1991,11.0597,0.0,0.0,0.0,0.0,0.0,0.0,8.258415068493152
1,23000000,2618,18.0,5.62544,1.07543,7.3922,-2.0053,5.8553,0.0,0.0,0.0,0.0,0.0,0.0,9.047214864864864
