step,t,atom_id,mol,x,y,z,ent,p2,q2,q4,q6,q8,q10,v,nfaces,h,ent_category,S_band1,S_band2,S_band3,S_band4,S_band5,S_band6
3600,36000000,7755,52,10.119646,9.259361,13.724791,-5.821,0.2009,0.0156766689689412,0.0788644143410669,0.0749595234011381,0.0478841480820199,0.0336297945497591,0.478013,17,0.0666580246913579,1,-4.6625,-5.33357142857143,-5.52642307692308,-5.97616666666667,-5.86467391304348,-6.16314285714286
3600,36000000,7756,52,10.382446,9.021751,13.909591,-5.936,0.1583,0.0259353402000115,0.0757140845549054,0.0835443545610006,0.0436824140757152,0.0313280682215954,0.356516,12,0.27658961038961,1,-4.70225,-5.200875,-5.93848,-6.07674285714286,-6.22806,-5.926234375
3600,36000000,7757,52,10.715446,9.167121,14.035991,-5.946,0.2186,0.0250216935234553,0.0754862382184132,0.0825913077079216,0.04207856183123,0.0415176735827751,0.412912,16,0.0540264367816093,1,-5.0315,-5.165375,-5.90128,-6.34177777777778,-5.9610652173913,-5.82443548387097
3600,36000000,7758,52,10.925546,8.865431,14.168591,-6.069,0.2291,0.026050743722713,0.0730954760921251,0.0861980950388786,0.0341073361709841,0.0395898807337974,0.381794,15,0.37557125,1,-6.16875,-5.438625,-6.1516,-6.51511428571429,-6.18582222222222,-5.6350625
3600,36000000,7759,52,11.276546,8.945791,14.317291,-6.093,0.1015,0.018260039231616,0.0786704918008536,0.111582160231602,0.0446220569392722,0.0382090501620398,0.382189,14,0.0655353658536583,1,-6.50475,-5.043375,-6.70768965517241,-6.02896551724138,-6.1348125,-5.72818644067797
3600,36000000,7760,52,11.455846,8.658511,14.513891,-6.242,0.5855,0.0160251462980031,0.110378908662446,0.145257060004884,0.0486941243362262,0.0454209454393653,0.398931,15,0.345760526315789,1,-6.32225,-7.09033333333333,-6.3118064516129,-5.97120833333333,-6.4545,-6.0499746835443
3600,36000000,7761,52,11.638846,8.433801,14.254391,-6.338,0.6112,0.008920281429608,0.117128768779285,0.17630716567125,0.0538784022765316,0.0482721246850555,0.415189,18,0.247939240506329,1,-6.279,-6.144,-6.71051282051282,-6.25984,-6.36790476190476,-5.84453424657534
3600,36000000,7762,52,11.853346,8.143511,14.384091,-6.499,0.7315,0.0155361280380703,0.145992498883229,0.225983448671984,0.0666789093612577,0.065390659325409,0.40951,16,0.265211842105263,1,-6.58933333333333,-7.3582,-6.81409090909091,-6.73245833333333,-6.06963043478261,-6.23305882352941
3600,36000000,7763,52,11.970346,7.904181,14.112591,-6.533,0.7978,0.0164971486142983,0.150578098913516,0.233611147740713,0.0769532713113114,0.0686999906683786,0.384175,15,-0.0603150684931507,1,-7.215,-6.58857142857143,-6.92025,-7.02845833333333,-6.29059615384615,-6.25207936507936
3600,36000000,7764,52,12.163746,7.605241,14.272291,-6.799,0.8867,0.0144952523105659,0.170699524887683,0.264093257433456,0.0891384252397248,0.0829819565903979,0.390844,14,-1.11517307692308,1,-6.62875,-7.05028571428572,-7.18068965517241,-6.78564,-6.73951111111111,-6.70165753424658
3600,36000000,7765,52,12.304046,7.336301,14.015291,-6.986,0.8952,0.0115894680556457,0.176639595872286,0.266116837364138,0.0999777179678238,0.0924281954480278,0.395744,16,-1.13663698630137,1,-6.58675,-6.623375,-7.11876666666667,-6.98252,-6.83284444444444,-7.03963157894737
