step,t,atom_id,mol,x,y,z,ent,p2,q2,q4,q6,q8,q10,v,nfaces,h,ent_category,S_i,S_band1,S_band2,S_band3,S_band4,S_band5,S_band6,Cluster_Label
1580,15800000,77,1,12.544198,1.668187,3.533548,-6.319,0.8643,0.0141749465030833,0.167263571690327,0.244978579625459,0.0885831099383919,0.0586152624108505,0.382728,15,-3.78559736842105,1,-8.756,-6.81225,-6.6685,-6.36686206896552,-6.19648148148148,-6.216,-6.18444927536232,1
1580,15800000,78,1,12.220698,1.825197,3.381098,-6.052,0.8921,0.0093170261486723,0.169659921584288,0.230356540292579,0.0855935707934424,0.0545852258700624,0.412311,15,-3.36808846153846,1,-8.211,-8.2465,-5.74157142857143,-6.12036666666667,-6.17959259259259,-6.00439215686275,-6.32763333333333,1
1580,15800000,79,1,11.939898,1.861567,3.648638,-6.309,0.9061,0.0039151574241358,0.163302216338242,0.259382710951754,0.0860078103636014,0.0552636869968756,0.387553,13,-3.57300384615385,1,-7.127,-8.5645,-7.2504,-6.33809677419355,-5.77485714285714,-6.37268888888889,-6.37483823529412,1
1580,15800000,80,1,11.632098,2.077437,3.549438,-6.293,0.912,0.0205474643021053,0.169692637053433,0.248382218853337,0.0877066475602997,0.0627050167653378,0.433854,17,-2.99668,1,-10.069,-7.7565,-6.629,-6.289,-5.7004,-6.35790909090909,-6.31730555555556,1
1580,15800000,81,1,11.373598,2.146707,3.834448,-6.563,0.9461,0.0106405264154739,0.163972295451599,0.261115561693618,0.0858389488673617,0.0597955051790106,0.410032,16,-3.11563333333333,1,-7.222,-8.1405,-8.518,-5.97588235294118,-6.34339130434783,-6.8965625,-6.43941333333333,1
1580,15800000,82,1,11.068998,2.371647,3.730928,-6.46,0.9461,0.0257075751677524,0.173500291979471,0.236679035476214,0.0908155150277716,0.0701090725942951,0.419094,19,-3.08225205479452,1,-8.466,-8.33675,-5.414,-6.21135483870968,-6.89840909090909,-6.37133333333333,-6.54174025974026,1
1580,15800000,83,1,10.768098,2.447907,3.981548,-6.676,0.9435,0.0139066813743643,0.178237422978525,0.250923101730199,0.0930062409618298,0.0796199676847724,0.3782,15,-2.855068,1,-6.9,-7.96875,-7.1365,-6.10989655172414,-7.29019230769231,-6.82720454545455,-6.39272093023256,1
1580,15800000,84,1,10.513698,2.747197,3.893808,-6.519,0.8793,0.0151002876388275,0.180037779549462,0.238900509105874,0.0955195158297023,0.0848460611135836,0.434861,20,-2.73933835616438,1,-9.156,-7.97975,-5.21125,-6.76262068965517,-6.83886956521739,-6.36529787234043,-6.54467058823529,1
1580,15800000,85,1,10.310198,2.846617,4.221658,-6.783,0.842,0.0104234670830928,0.179007206379334,0.265983016597131,0.0966053182763783,0.0882540253345793,0.368102,14,-3.30810120481928,1,-7.031,-8.43275,-6.97028571428572,-6.89781818181818,-6.291,-6.80432692307692,-6.3906835443038,1
1580,15800000,86,1,10.082398,3.144967,4.151568,-6.544,0.9415,0.0126205771044192,0.173298150875366,0.261392105363037,0.0924658687153926,0.0828866683833492,0.420075,17,-2.9038302631579,1,-9.522,-8.0735,-7.304125,-6.80584375,-5.95164,-6.53951063829787,-6.46350632911392,1
