step,t,atom_id,mol_id,x,y,z,S,xlo,xhi,ylo,yhi,zlo,zhi,S_ave_0.4to0.8,S_ave_0.8to1.1,S_ave_1.1to1.5,S_ave_1.5to1.9,S_ave_1.9to2.3,S_ave_2.3to2.7
1,23000000,77,1.0,3.28798,10.9718,5.29228,-3.758,0.0,0.0,0.0,0.0,0.0,0.0,-4.432250000000001,-5.832555555555555,-5.054619047619048,-4.9933571428571435,-5.022227272727273,-5.689627118644067
1,23000000,78,1.0,3.56545,10.7883,5.09566,-3.714,0.0,0.0,0.0,0.0,0.0,0.0,-4.3755,-4.845166666666667,-5.324578947368421,-5.054970588235295,-4.959475,-5.447774193548387
1,23000000,79,1.0,3.65213,10.967,4.75665,-3.793,0.0,0.0,0.0,0.0,0.0,0.0,-4.2177500000000006,-4.537125,-5.234,-4.957238095238096,-4.96191111111111,-5.488175675675675
1,23000000,80,1.0,3.9802,10.8402,4.60211,-5.799,0.0,0.0,0.0,0.0,0.0,0.0,-3.83875,-4.569714285714285,-4.946999999999999,-5.122851851851852,-5.5117560975609745,-5.080473684210526
1,23000000,81,1.0,3.97484,10.4844,4.43842,-3.6,0.0,0.0,0.0,0.0,0.0,0.0,-4.38,-4.3181666666666665,-5.133476190476191,-5.153548387096775,-5.377285714285715,-5.142422535211267
1,23000000,82,1.0,4.33875,10.3359,4.3502,-4.248,0.0,0.0,0.0,0.0,0.0,0.0,-4.18025,-4.41725,-5.11075,-4.917185185185184,-5.361369565217391,-5.216455882352941
1,23000000,83,1.0,4.34469,10.0097,4.14244,-3.68,0.0,0.0,0.0,0.0,0.0,0.0,-4.2575,-5.9794,-4.8237000000000005,-5.174833333333334,-5.207254901960784,-5.1266333333333325
1,23000000,84,1.0,4.6843,9.82553,4.06059,-3.642,0.0,0.0,0.0,0.0,0.0,0.0,-5.3345,-4.949714285714286,-5.1474375000000006,-5.097941176470588,-5.1644186046511615,-5.236560606060605
1,23000000,85,1.0,4.89944,9.7177,4.37824,-5.54,0.0,0.0,0.0,0.0,0.0,0.0,-4.96425,-4.526999999999999,-4.9425384615384615,-5.486827586206896,-5.144151515151515,-5.139783783783784
1,23000000,86,1.0,5.22312,9.55566,4.24259,-7.87,0.0,0.0,0.0,0.0,0.0,0.0,-4.42675,-4.2059999999999995,-5.191281249999999,-5.512999999999999,-5.235813953488372,-5.680421052631578
1,23000000,87,1.0,5.47532,9.46649,4.53459,-4.665,0.0,0.0,0.0,0.0,0.0,0.0,-5.976666666666667,-4.587714285714285,-5.088480000000001,-5.177535714285715,-5.749976744186046,-5.795193548387096
1,23000000,88,1.0,5.76101,9.23819,4.43369,-3.86,0.0,0.0,0.0,0.0,0.0,0.0,-6.171666666666667,-5.360333333333333,-5.079882352941176,-5.279947368421053,-5.942682926829269,-5.955439393939393
1,23000000,89,1.0,5.98982,9.13486,4.73311,-4.52,0.0,0.0,0.0,0.0,0.0,0.0,-4.9135,-4.705285714285715,-5.2138,-5.654342857142858,-5.740844444444445,-6.035028169014085
1,23000000,90,1.0,6.33593,9.00378,4.60322,-6.125,0.0,0.0,0.0,0.0,0.0,0.0,-4.40175,-4.7086,-5.717516129032259,-5.6136,-6.160703703703702,-6.048815789473684
1,23000000,91,1.0,6.59353,8.94661,4.88649,-5.004,0.0,0.0,0.0,0.0,0.0,0.0,-4.9079999999999995,-4.150166666666666,-5.927833333333335,-5.58382142857143,-6.476934782608697,-6.013630769230769
1,23000000,92,1.0,6.76251,9.27374,5.00858,-4.223,0.0,0.0,0.0,0.0,0.0,0.0,-5.1643333333333326,-5.697666666666667,-5.502083333333334,-6.282333333333334,-6.249661016949152,-6.083363636363636
1,23000000,93,1.0,7.0168,9.23161,5.28955,-4.764,0.0,0.0,0.0,0.0,0.0,0.0,-5.185,-6.032444444444445,-5.43876923076923,-5.993692307692308,-6.378037735849056,-6.192530303030304
1,23000000,94,1.0,7.14613,9.58605,5.40119,-4.364,0.0,0.0,0.0,0.0,0.0,0.0,-5.43375,-5.973222222222222,-5.827307692307692,-5.227125,-6.606563636363635,-6.059671874999999
1,23000000,95,1.0,7.40243,9.59236,5.68769,-6.187,0.0,0.0,0.0,0.0,0.0,0.0,-5.65225,-5.3805,-5.858342857142857,-5.555560000000001,-6.538458333333334,-6.700042857142857
1,23000000,96,1.0,7.57786,9.93525,5.75127,-6.561,0.0,0.0,0.0,0.0,0.0,0.0,-5.77275,-6.009,-6.087806451612903,-5.326238095238096,-6.42492727272727,-6.758388059701493
